Orden Ejecución,Fase Estratégica,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Herramienta,Flujo Maestro,Aprendizaje Clave,Prompt Maestro / Referencia,Descripción Detallada,Nivel de Dificultad,Modelo AI Sugerido (2026),Justificación Modelo,Modo MAX Cursor,Estrategia Cycle Agent,Modo Cursor Sugerido,Estrategia Detallada de Ejecución
1,Fase 1: Ingesta (El Ojo),1.01,01 Cimientos,Init Next.js 16.1 & TS,Alta,Listo,3.0,Cursor,Terminal + Chat,Turbopack Stable,"PROMPT: Create Next.js 16.1 project with TS, Tailwind, and App Router. Enable Turbopack and React 19 features.",Inicialización del entorno de desarrollo utilizando Next.js 16.1 (versión experimental o estable más reciente) junto con TypeScript. Se configura el 'App Router' para el enrutamiento moderno y se habilita 'Turbopack' para acelerar la compilación en desarrollo. El objetivo es tener una base sólida que soporte las nuevas características de React 19 como Server Actions y useOptimistic.,Media,Sonnet 4.5,Mejor capacidad para generar boilerplate moderno de Next.js 16.1 y configuraciones limpias de TypeScript.,NO,1x (Estándar),Agent,Iniciar proyecto limpio. No requiere contexto previo. Usar 'Agent' para ejecutar los comandos de terminal y configurar 'next.config.ts'.
2,Fase 1: Ingesta (El Ojo),1.02,01 Cimientos,Shadcn/UI v2 Setup,Alta,Listo,3.0,Cursor Composer,Composer Directo,Modern UI Library,PROMPT: Generate a legal-themed dashboard shell with shadcn/ui v2 for Next.js 16 Server Actions.,"Instalación y configuración de la biblioteca de componentes Shadcn/UI v2. Esta tarea implica usar Cursor Composer para generar una estructura base (shell) de la aplicación que tenga una estética profesional y sobria, adecuada para el sector legal. Se personalizarán los temas (theme) para reflejar seriedad y confianza.",Media,Sonnet 4.5,Líder indiscutible en UI/UX y generación de código React/Tailwind visualmente coherente.,NO,1x (Estándar),Agent (Composer),Usar Composer para iterar visualmente sobre los componentes shadcn/ui. El foco es estético.
3,Fase 1: Ingesta (El Ojo),4.01,04 Scraper,Extension Init (V3),Alta,Listo,6.0,Cursor,Chrome API,SidePanel API 2026,PROMPT: Init Chrome Extension Manifest V3 with a sidePanel that activates on pjud.cl domain. This is the MAIN product interface.,"Inicialización del proyecto de Extensión de Chrome bajo el estándar Manifest V3. COMPONENTE PRINCIPAL DEL PRODUCTO: Se configura el permiso 'sidePanel' para que la extensión abra un panel lateral automáticamente o mediante clic cuando el usuario navega por el dominio 'pjud.cl' (Poder Judicial). Esta Extensión/Sidepanel es la interfaz principal donde el abogado realiza todo su trabajo: scraping de causas, análisis con IA, generación de escritos. El Dashboard Web es solo un panel administrativo secundario.",Media,Sonnet 4.5,La extensión es la cara del producto. Requiere el código frontend más robusto y moderno para el SidePanel.,SÍ,1x (Estándar),Agent,Activar MAX Mode para que entienda el contexto de la aplicación web existente al crear la extensión. Evita duplicidad de utilidades.
4,Fase 1: Ingesta (El Ojo),1.03,01 Cimientos,Supabase Auth & Config,Alta,Listo,2.0,Cursor,Composer (CMD+I),Server Client Logic,PROMPT: Setup Supabase SSR client for Next.js 16.1 using latest auth helpers and middleware. Configure shared authentication between Chrome Extension and Dashboard using cookies/tokens with same-site policies for cross-context persistence.,"Configuración de la autenticación con Supabase Auth utilizando el paquete SSR (Server-Side Rendering) para Next.js. Se implementan los 'auth helpers' y el middleware necesario para proteger las rutas privadas del Dashboard Web (panel administrativo secundario). CRÍTICO: La autenticación debe persistir entre la Extensión de Chrome (contexto principal) y el Dashboard Web mediante cookies compartidas o tokens con políticas same-site, permitiendo que el usuario autenticado en la Extensión pueda acceder al Dashboard sin re-autenticarse.",Media,GPT-5.2 Codex,"Lógica de seguridad crítica. GPT-5.2 es superior razonando sobre cookies, tokens y seguridad cross-site.",SÍ,2x (Verificación),Agent,Usar MAX Mode para integrar auth en Web y Extensión. Cycle 2x para comparar dos implementaciones de seguridad y elegir la más robusta.
5,Fase 1: Ingesta (El Ojo),2.01,02 Storage,Bucket de Expedientes,Alta,Listo,3.0,Supabase AI,Dashboard AI,Secure Blob Storage,PROMPT: Create 'case-files' bucket in Supabase with RLS policies tied to auth.uid() in file metadata. Files are uploaded from Chrome Extension context.,"Creación y configuración de un Bucket en Supabase Storage dedicado exclusivamente a 'case-files' (expedientes). Se configuran políticas de seguridad (RLS) para que los archivos subidos desde la Extensión de Chrome tengan metadatos vinculados al ID del usuario (auth.uid), impidiendo accesos cruzados no autorizados entre cuentas de abogados diferentes. Los archivos son cargados directamente desde el contexto de la Extensión al realizar el scraping del PJUD.",Media,Gemini 3 Pro,Excelente manejo de configuraciones de infraestructura y lectura de documentación técnica extensa.,NO,1x (Estándar),Agent,Tarea aislada de configuración en Supabase. Gemini puede generar las políticas de Storage rápidamente.
6,Fase 1: Ingesta (El Ojo),1.04,01 Cimientos,SQL: Perfiles & RLS,Alta,Backlog,7.5,Supabase AI,Dashboard AI,Multi-tenant Security,"PROMPT: SQL for 'profiles' with plan_type, case_limit (40/500) and pro_credits (10/100). Add RLS for owner-only access. Profile data is accessed from both Extension and Dashboard contexts.","Diseño y ejecución de scripts SQL en Supabase para crear la tabla 'profiles'. Se definen columnas críticas como 'plan_type' (para distinguir cuentas Free/Pro), 'case_limit' (cuotas de causas) y 'pro_credits' (créditos para uso de IA avanzada). Se aplican políticas RLS (Row Level Security) estrictas para que cada abogado solo pueda ver sus propios datos. Estos datos de perfil deben ser accesibles tanto desde la Extensión de Chrome (donde ocurre el trabajo principal) como desde el Dashboard Web (panel administrativo para gestión de suscripción y configuración).",Alta,GPT-5.2,Requiere razonamiento profundo para diseñar un esquema de base de datos SQL seguro y escalable (RLS).,SÍ,1x (Estándar),Plan -> Agent,Primero usar modo 'Plan' para validar el esquema SQL. Luego 'Agent' para ejecutar la migración. MAX Mode necesario para ver tablas existentes.
7,Fase 1: Ingesta (El Ojo),4.03,04 Scraper,Direct Upload API,Alta,Backlog,6.0,Cursor,API Routes,Secure Tunneling,PROMPT: Next.js 16 route to receive PDF blobs from Chrome Extension (main product) and stream directly to Supabase Storage.,Creación de un endpoint seguro (API Route) en Next.js diseñado para recibir 'blobs' (archivos binarios) directamente desde la Extensión de Chrome (interfaz principal). Este túnel permite que el Sidepanel suba los PDFs scrapeados del PJUD directamente al almacenamiento en la nube (Supabase) sin que el usuario tenga que guardarlos primero en su disco duro local. El flujo completo ocurre dentro del contexto del navegador: Scraping en PJUD → Upload desde Extensión → Storage en Supabase.,Media,GPT-5.2 Codex,"Manejo técnico preciso de streams, blobs y API Routes en Node.js/Next.js.",SÍ,1x (Estándar),Agent,Requiere MAX Mode para alinear la API con el cliente de la Extensión. Codex asegura que el manejo de memoria sea óptimo.
8,Fase 1: Ingesta (El Ojo),5.01,05 Frontend,Vistas de Casos (Extensión + Dashboard),Alta,Backlog,12.5,Cursor Composer,Composer Directo,No-Upload UX,PROMPT: UI cases list for Sidepanel (primary) and Dashboard (secondary admin panel). Updates automatically when files are synced via Extension. Use React 19 useOptimistic hook for immediate feedback in the Sidepanel.,"Desarrollo de las vistas de listado de causas en DOS contextos: 1) VISTA PRINCIPAL en el Sidepanel de la Extensión de Chrome (donde el usuario trabaja diariamente), y 2) VISTA ADMINISTRATIVA en el Dashboard Web (para revisión y gestión desde escritorio). La clave es la sincronización en tiempo real: ambas interfaces deben actualizarse automáticamente (sin recargar) en cuanto la Extensión sube un nuevo expediente, utilizando las capacidades de suscripción a base de datos de Supabase o revalidación de Next.js. Se debe implementar el hook 'useOptimistic' de React 19 en el Sidepanel para mostrar el archivo en la lista inmediatamente mientras se sube en segundo plano.",Muy Alta,Sonnet 4.5,"Complejidad alta de Frontend (Estado optimista, Sincronización Real-time). Sonnet brilla en React complejo.",SÍ,1x (Estándar),Agent,MAX Mode crucial para ver tanto el código del Sidepanel como del Dashboard y unificar la lógica de visualización.
9,Fase 1: Ingesta (El Ojo),1.06,01 Cimientos,Next.js 'use cache' Setup,Alta,Backlog,4.0,Cursor,Config Next.js,Performance 2026,PROMPT: Implement 'use cache' directive in server components to optimize case list fetching speed in both Sidepanel (via API) and Dashboard (secondary admin panel).,"Implementación de la directiva 'use cache' de Next.js (característica avanzada de la versión 16) en los componentes del servidor que sirven datos tanto al Sidepanel de la Extensión (mediante API Routes) como al Dashboard Web (panel administrativo). El objetivo es cachear agresivamente las listas de causas y datos estáticos para que la carga sea instantánea en ambos contextos, mejorando la experiencia de usuario frente a sistemas judiciales lentos. Prioridad en optimización del Sidepanel por ser la interfaz principal.",Media,GPT-5.2 Codex,Optimización de bajo nivel (Backend for Frontend). Requiere conocimiento técnico profundo de Next.js internals.,SÍ,1x (Estándar),Agent,Analizar componentes existentes con MAX Mode para aplicar 'use cache' estratégicamente sin romper la revalidación.
10,Fase 2: Digestión (El Cerebro),2.04,02 Storage,Supabase Vector Store,Alta,Backlog,4.0,Supabase AI,Dashboard AI,Vector Embeddings,PROMPT: Enable pgvector extension and create 'document_embeddings' table. Optimized for legal text retrieval.,Habilitación de la extensión 'pgvector' en la base de datos Postgres de Supabase y creación de la tabla 'document_embeddings'. Esta tabla almacenará las representaciones vectoriales (embeddings) de los textos legales extraídos de los PDF. Es el cerebro de la búsqueda semántica que permitirá a la IA encontrar precedentes o párrafos específicos dentro de los expedientes.,Alta,Gemini 3 Pro,Manejo de bases de datos grandes y extensiones específicas (pgvector). Contexto amplio útil para SQL complejos.,SÍ,1x (Estándar),Agent,Configurar pgvector. Gemini puede inferir índices óptimos leyendo la estructura de datos definida en tareas anteriores.
11,Fase 2: Digestión (El Cerebro),3.01,03 Cerebro,Gemini 3.0 API Setup,Alta,Backlog,4.0,Cursor,Secrets Management,Multimodal AI,PROMPT: Configure Google AI Studio SDK for Gemini 3.0. Create server-side utility for secure calls.,"Configuración del SDK de Google Generative AI (Gemini 3.0 o Pro 1.5 en su defecto). Se crea una utilidad de servidor (server-side utility) robusta para manejar las llamadas a la API, gestionando las claves de API de forma segura (variables de entorno) y configurando los parámetros de temperatura y tokens adecuados para el análisis de textos legales complejos.",Media,Gemini 3 Pro,Conocimiento nativo de su propia API (Google AI SDK). Mejor para configuraciones de Vertex/Gemini.,NO,1x (Estándar),Agent,Implementación de utilidad SDK. Tarea autocontenida.
12,Fase 2: Digestión (El Cerebro),3.02,03 Cerebro,RAG Pipeline Base,Alta,Backlog,10.0,Cursor Composer,Composer Max Mode,Context Retrieval,PROMPT: Implement RAG (Retrieval-Augmented Generation) pipeline. Fetch relevant embeddings before sending prompt to Gemini.,"Implementación del pipeline RAG (Retrieval-Augmented Generation). Este es el núcleo de la inteligencia del sistema. El código debe: 1) Recibir una pregunta del usuario, 2) Convertirla a vector, 3) Buscar los fragmentos de texto más relevantes en la base de datos vectorial (Supabase), y 4) Enviar esos fragmentos junto con la pregunta a Gemini para generar una respuesta fundamentada jurídicamente.",Muy Alta,GPT-5.2,El 'Cerebro' del sistema. Requiere máxima capacidad lógica para orquestar RAG y evitar alucinaciones.,SÍ,4x (Arquitectura),Plan -> Agent,Usar 'Plan' primero. Cycle 4x para generar 4 estrategias de RAG (ej. HyDE vs Vector simple) y elegir la mejor. MAX Mode obligatorio.
13,Fase 2: Digestión (El Cerebro),3.03,03 Cerebro,Editor de Escritos con IA,Alta,Backlog,12.0,Cursor Composer,Composer Directo,AI Writing Assistant,"PROMPT: Create AI-assisted rich text editor using Tiptap/Slate. Features: 'Rewrite legalese', 'Expand argument'. Lives in Extension Sidepanel.","Desarrollo del editor de textos jurídicos potenciado por IA dentro del Sidepanel de la Extensión. Utilizando librerías como Tiptap o Slate.js, se crean funcionalidades específicas para abogados: un botón 'Reescribir formal', 'Expandir argumento jurídico', o 'Citar jurisprudencia'. El editor debe permitir la interacción fluida entre el texto que escribe el abogado y las sugerencias de la IA en tiempo real.",Muy Alta,Sonnet 4.5,Editor de texto rico (Rich Text) requiere manejo experto de DOM y UI interactiva compleja.,SÍ,4x (Creatividad),Agent,Cycle 4x para proponer diferentes UX de interacción IA-Abogado (ej. menú flotante vs sidebar). Sonnet implementa la ganadora.
