Orden Ejecución,Fase Estratégica,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Herramienta,Flujo Maestro,Aprendizaje Clave,Prompt Maestro / Referencia,Descripción Detallada,Nivel de Dificultad,Modelo AI Sugerido (2026),Justificación Modelo,Modo MAX Cursor,Estrategia Cycle Agent,Modo Cursor Sugerido,Estrategia Detallada de Ejecución
1,Fase 1: Ingesta (El Ojo),1.01,01 Cimientos,Init Next.js 16.1 & TS,Alta,Listo,3.0,Cursor,Terminal + Chat,Turbopack Stable,"PROMPT: Create Next.js 16.1 project with TS, Tailwind, and App Router. Enable Turbopack and React 19 features.",Inicialización del entorno de desarrollo utilizando Next.js 16.1 (versión experimental o estable más reciente) junto con TypeScript. Se configura el 'App Router' para el enrutamiento moderno y se habilita 'Turbopack' para acelerar la compilación en desarrollo. El objetivo es tener una base sólida que soporte las nuevas características de React 19 como Server Actions y useOptimistic.,Media,Sonnet 4.5,Mejor capacidad para generar boilerplate moderno de Next.js 16.1 y configuraciones limpias de TypeScript.,NO,1x (Estándar),Agent,Iniciar proyecto limpio. No requiere contexto previo. Usar 'Agent' para ejecutar los comandos de terminal y configurar 'next.config.ts'.
2,Fase 1: Ingesta (El Ojo),1.02,01 Cimientos,Shadcn/UI v2 Setup,Alta,Listo,3.0,Cursor Composer,Composer Directo,Modern UI Library,PROMPT: Generate a legal-themed dashboard shell with shadcn/ui v2 for Next.js 16 Server Actions.,"Instalación y configuración de la biblioteca de componentes Shadcn/UI v2. Esta tarea implica usar Cursor Composer para generar una estructura base (shell) de la aplicación que tenga una estética profesional y sobria, adecuada para el sector legal. Se personalizarán los temas (theme) para reflejar seriedad y confianza.",Media,Sonnet 4.5,Líder indiscutible en UI/UX y generación de código React/Tailwind visualmente coherente.,NO,1x (Estándar),Agent (Composer),Usar Composer para iterar visualmente sobre los componentes shadcn/ui. El foco es estético.
3,Fase 1: Ingesta (El Ojo),4.01,04 Scraper,Extension Init (V3),Alta,Listo,6.0,Cursor,Chrome API,SidePanel API 2026,PROMPT: Init Chrome Extension Manifest V3 with a sidePanel that activates on pjud.cl domain. This is the MAIN product interface.,"Inicialización del proyecto de Extensión de Chrome bajo el estándar Manifest V3. COMPONENTE PRINCIPAL DEL PRODUCTO: Se configura el permiso 'sidePanel' para que la extensión abra un panel lateral automáticamente o mediante clic cuando el usuario navega por el dominio 'pjud.cl' (Poder Judicial). Esta Extensión/Sidepanel es la interfaz principal donde el abogado realiza todo su trabajo: scraping de causas, análisis con IA, generación de escritos. El Dashboard Web es solo un panel administrativo secundario.",Media,Sonnet 4.5,La extensión es la cara del producto. Requiere el código frontend más robusto y moderno para el SidePanel.,SÍ,1x (Estándar),Agent,Activar MAX Mode para que entienda el contexto de la aplicación web existente al crear la extensión. Evita duplicidad de utilidades.
4,Fase 1: Ingesta (El Ojo),1.03,01 Cimientos,Supabase Auth & Config,Alta,Listo,2.0,Cursor,Composer (CMD+I),Server Client Logic,PROMPT: Setup Supabase SSR client for Next.js 16.1 using latest auth helpers and middleware. Configure shared authentication between Chrome Extension and Dashboard using cookies/tokens with same-site policies for cross-context persistence.,"Configuración de la autenticación con Supabase Auth utilizando el paquete SSR (Server-Side Rendering) para Next.js. Se implementan los 'auth helpers' y el middleware necesario para proteger las rutas privadas del Dashboard Web (panel administrativo secundario). CRÍTICO: La autenticación debe persistir entre la Extensión de Chrome (contexto principal) y el Dashboard Web mediante cookies compartidas o tokens con políticas same-site, permitiendo que el usuario autenticado en la Extensión pueda acceder al Dashboard sin re-autenticarse.",Media,GPT-5.2 Codex,"Lógica de seguridad crítica. GPT-5.2 es superior razonando sobre cookies, tokens y seguridad cross-site.",SÍ,2x (Verificación),Agent,Usar MAX Mode para integrar auth en Web y Extensión. Cycle 2x para comparar dos implementaciones de seguridad y elegir la más robusta.
5,Fase 1: Ingesta (El Ojo),2.01,02 Storage,Bucket de Expedientes,Alta,Listo,3.0,Supabase AI,Dashboard AI,Secure Blob Storage,PROMPT: Create 'case-files' bucket in Supabase with RLS policies tied to auth.uid() in file metadata. Files are uploaded from Chrome Extension context.,"Creación de Bucket 'case-files'. CAMBIO ESTRATEGIA: Se permite subida de PDFs tanto para usuarios FREE como PRO (Context Caching lo hace viable). RLS policies para asegurar aislamiento. Nota: Los archivos Free se etiquetan con metadata para borrado automático a los 3 días por el script 'The Reaper'.",Media,Gemini 3 Pro,Excelente manejo de configuraciones de infraestructura y lectura de documentación técnica extensa.,NO,1x (Estándar),Agent,Tarea aislada de configuración en Supabase. Gemini puede generar las políticas de Storage rápidamente.
6,Fase 1: Ingesta (El Ojo),1.04,01 Cimientos,SQL: Perfiles & RLS,Alta,Listo,7.5,Supabase AI,Dashboard AI,Multi-tenant Security,"PROMPT: SQL for 'profiles'. Columns: plan_type ('free'/'pro'), chat_count (int), deep_thinking_count (int), last_active_date (timestamp), device_fingerprint (text, unique constraint for free tier). RLS: Users can read/update own data. Admin can delete 'free' users.","ACTUALIZACIÓN MODELO BINARIO: Tabla profiles adaptada. 1) Plan Free: 1 Causa, 10 Chats, 1 Deep Thinking. Borrado 3 días. 2) Plan Pro ($29.90): 500 Causas, Chat Ilimitado, 100 Deep Thinking. Incluye columna 'device_fingerprint' para evitar multicuentas y 'last_active' para el script de limpieza (Reaper).",Alta,GPT-5.2,Requiere razonamiento profundo para diseñar un esquema de base de datos SQL seguro y escalable (RLS).,SÍ,1x (Estándar),Plan -> Agent,Primero usar modo 'Plan' para validar el esquema SQL. Luego 'Agent' para ejecutar la migración. MAX Mode necesario para ver tablas existentes.
7,Fase 1: Ingesta (El Ojo),4.03,04 Scraper,Direct Upload API,Alta,Backlog,6.0,Cursor,API Routes,Secure Tunneling,PROMPT: Next.js 16 route to receive PDF blobs from Chrome Extension (main product) and stream directly to Supabase Storage.,"Creación de un endpoint seguro (API Route) en Next.js diseñado para recibir 'blobs' (archivos binarios) directamente desde la Extensión de Chrome (interfaz principal). Este túnel permite que el Sidepanel suba los PDFs scrapeados del PJUD directamente al almacenamiento en la nube (Supabase) sin que el usuario tenga que guardarlos primero en su disco duro local. El flujo completo ocurre dentro del contexto del navegador: Scraping en PJUD → Upload desde Extensión → Storage en Supabase.",Media,GPT-5.2 Codex,"Manejo técnico preciso de streams, blobs y API Routes en Node.js/Next.js.",SÍ,1x (Estándar),Agent,Requiere MAX Mode para alinear la API con el cliente de la Extensión. Codex asegura que el manejo de memoria sea óptimo.
8,Fase 1: Ingesta (El Ojo),4.06,04 Scraper,Scraper Remote Config,Alta,Backlog,3.0,Cursor,API Routes,Dynamic Selectors,"PROMPT: Create Next.js API Route /api/scraper/config that serves a JSON with CSS selectors, URL patterns, and scraping rules. Extension fetches this config on startup. When PJud changes DOM, update server JSON and all extensions auto-fix in minutes without Chrome Store review.","Creación de un endpoint API (/api/scraper/config) que sirve la configuración dinámica del scraper: selectores CSS, patrones de URL para PDFs, keywords heurísticas y parámetros de throttling. SOLUCIÓN AL 'CICLO DE LA MUERTE' (Vulnerabilidad 4.1): Cuando PJud cambia su DOM, se actualiza este JSON en el servidor y TODAS las extensiones reciben los selectores corregidos en minutos, sin necesidad de pasar por la revisión de Google Chrome Store (que tarda hasta 4 días). La extensión cachea la config en chrome.storage.local como fallback offline, con defaults hardcodeados como último recurso. En producción, este JSON puede moverse a una tabla Supabase para edición via Dashboard admin.",Media,GPT-5.2 Codex,API Route con lógica de versionamiento y cache headers. Requiere precisión en la estructura del JSON de configuración.,SÍ,1x (Estándar),Agent,Crear la API Route y el schema de configuración. MAX Mode para alinear los selectores con la estructura real del PJud.
9,Fase 1: Ingesta (El Ojo),4.07,04 Scraper,Causa Context Detector (ROL Parser),Alta,Backlog,5.0,Cursor,Chrome API + DOM,Legal Context Awareness,"PROMPT: Build a context detector module for the Chrome Extension content script. It must: 1) Detect the ROL (Chilean legal case ID, format C-XXXXX-YYYY) from the current pjud.cl page by parsing URL, DOM text, breadcrumbs and navigation. 2) Identify the causa document zone (the table containing case files) vs generic page elements (help, menus, navigation). 3) Send detected ROL and causa info to Sidepanel for user confirmation BEFORE any scraping starts. No confirmation = no scraping.","TAREA MÁS CRÍTICA DEL BLOQUE SCRAPER. Módulo que detecta QUÉ causa jurídica está viendo el abogado ANTES de capturar un solo byte. Sin este contexto, el scraper sería un 'aspirador ciego' que captura cualquier PDF del sitio (ayuda, otras causas, documentos genéricos), contaminando la base de datos y confundiendo al RAG (3.02) con información cruzada entre causas. El módulo: 1) Parsea el ROL de la causa desde la URL, el texto del DOM, breadcrumbs y la ruta de navegación del PJud (formatos: C-XXXXX-YYYY, ROL: 12345-2026, etc.). 2) Identifica la 'zona de documentos' de la causa específica (tabla de escritos/resoluciones/actuaciones) diferenciándola de elementos genéricos de la página (menús, ayuda, FAQ). 3) Muestra al abogado en el Sidepanel: 'Causa C-12345-2026 - Juzgado Civil de Santiago - Carátula: Pérez con López - 15 documentos detectados'. 4) REQUIERE CONFIRMACIÓN EXPLÍCITA del abogado antes de permitir la sincronización. Sin ROL confirmado = sin scraping. En el mundo legal, un documento de otra causa es peor que ningún documento.",Alta,GPT-5.2,"Requiere razonamiento profundo sobre estructuras de navegación complejas del PJud, parsing de texto legal chileno y lógica condicional estricta.",SÍ,2x (Verificación),Plan -> Agent,"Primero usar 'Plan' para mapear las diferentes vistas del PJud donde aparece el ROL (búsqueda, ficha de causa, detalle de expediente). Luego 'Agent' para implementar. Cycle 2x para verificar que no hay falsos positivos de ROL. MAX Mode obligatorio."
10,Fase 1: Ingesta (El Ojo),4.08,04 Scraper,Scraper Resiliente Layers 1 & 2 (Red + DOM),Alta,Backlog,8.0,Cursor,Chrome API + webRequest,Resilient Scraping,"PROMPT: Implement 2-layer resilient scraper for Chrome Extension. Layer 1 (Network Interceptor): Inject script into page MAIN world to intercept fetch(), XMLHttpRequest and URL.createObjectURL(). Capture PDFs at HTTP traffic level, DOM-agnostic. Layer 2 (Smart DOM Analyzer): Heuristic scoring system finding download buttons by semantic meaning. Penetrates Shadow DOM and iframes. CRITICAL: Both layers scoped to confirmed causa context from 4.07. Layer 3 (Manual Drag-Drop): Fallback only when L1+L2 fail.","Motor de captura de PDFs con arquitectura de 3 capas y fallback automático, TODAS acotadas al contexto de causa confirmado por 4.07. LAYER 1 (Network Interceptor - Máxima Resiliencia): Inyecta script en el MAIN world de la página para interceptar fetch(), XMLHttpRequest y URL.createObjectURL(). Captura PDFs directamente del tráfico HTTP sin depender del DOM. Soluciona Vulnerabilidades 2.3 (Blobs) y 1.1 (Selectores frágiles). Si PJud cambia todo su HTML pero sigue sirviendo PDFs por HTTP, esta capa sigue funcionando. Solo se activa DESPUÉS de la confirmación de causa. LAYER 2 (Smart DOM Analyzer - Inmunidad al DOM): Sistema de puntuación heurístico que encuentra botones de descarga por significado semántico (texto 'descargar', iconos PDF, atributos onclick, contexto en tablas legales) en vez de selectores CSS frágiles. Penetra Shadow DOM recursivamente (Vuln. 1.3) e iframes same-origin (Vuln. 1.2). Solo opera dentro de la zona de documentos de la causa identificada por 4.07. LAYER 3 (Upload Manual): Drag & Drop de PDFs en el Sidepanel como último recurso. Solo aparece si Layer 1 y 2 no encuentran resultados.",Muy Alta,GPT-5.2 Codex,"Complejidad técnica extrema: interceptación de tráfico a nivel de página, inyección en MAIN world, heurísticas de scoring, traversal recursivo de Shadow DOM e iframes.",SÍ,2x (Verificación),Agent,MAX Mode obligatorio para integrar con Context Detector (4.07) y config remota (4.06). Cycle 2x para verificar que no se capturan PDFs fuera del contexto de la causa confirmada.
