Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección
1,Fase 1: Ingesta (El Ojo),1.01,01 Cimientos,Init Next.js 16.1 & TS,Alta,Listo,3.0,"Inicialización Next.js 16.1 con TypeScript + Tailwind + App Router + Turbopack.",Media,,-,-,-,
2,Fase 1: Ingesta (El Ojo),1.02,01 Cimientos,Shadcn/UI v2 Setup,Alta,Listo,3.0,"Shadcn/UI v2 con tema legal profesional. Shell de aplicación para Dashboard y Extensión.",Media,,-,-,-,
3,Fase 1: Ingesta (El Ojo),4.01,04 Scraper,Extension Init (V3),Alta,Listo,6.0,"Chrome Extension Manifest V3 con SidePanel API. Interfaz principal del producto activada en pjud.cl.",Media,,-,-,-,
4,Fase 1: Ingesta (El Ojo),1.03,01 Cimientos,Supabase Auth & Config,Alta,Listo,2.0,"Supabase SSR Auth con middleware + persistencia de sesión entre Extensión y Dashboard.",Media,,-,-,-,
5,Fase 1: Ingesta (El Ojo),2.01,02 Storage,Bucket de Expedientes,Alta,Listo,3.0,"Bucket 'case-files' con RLS policies. Permite subida desde Extensión.",Media,,-,-,-,
6,Fase 1: Ingesta (El Ojo),1.04,01 Cimientos,SQL: Perfiles & RLS,Alta,Listo,7.5,"Tabla profiles con plan_type y contadores mensuales por capa. device_fingerprint para anti-multicuentas. RLS completo.",Alta,,-,-,-,
7,Fase 1: Ingesta (El Ojo),4.03,04 Scraper,Direct Upload API,Alta,Listo,6.0,"API Route /api/upload: recibe PDF blobs desde Extensión → Storage + DB. Race condition protegida por UNIQUE constraint.",Media,,-,-,-,
8,Fase 1: Ingesta (El Ojo),4.06,04 Scraper,Scraper Remote Config,Alta,Listo,3.0,"API Route /api/scraper/config: selectores CSS dinámicos + URL patterns. Soluciona el Ciclo de la Muerte.",Media,,-,-,-,
9,Fase 1: Ingesta (El Ojo),4.07,04 Scraper,Causa Context Detector (ROL Parser),Alta,Reemplazado,5.0,"REEMPLAZADO POR 4.16 (JWT Extractor). Lógica de detección de ROL simplificada: en vez de 6 estrategias heurísticas + fallbacks de storage se lee directamente de table.table-titulos en el DOM visible.",Alta,,-,-,-,
10,Fase 1: Ingesta (El Ojo),4.08,04 Scraper,Scraper Resiliente Layers 1 & 2,Alta,Reemplazado,8.0,"REEMPLAZADO POR 4.16 + 4.17. La nueva arquitectura no manipula el DOM: lee JWTs pasivamente (4.16) y descarga via fetch HTTP server-side (4.17). Network Interceptor y DOM Analyzer obsoletos. Manual upload (Layer 3) se mantiene en 4.03.",Muy Alta,,-,-,-,
11,Fase 1: Ingesta (El Ojo),4.09,04 Scraper,PDF Validator & Causa Filter,Alta,Listo,4.0,"5 filtros: Tamaño → Origen URL → Magic bytes → SHA-256 dedup → ROL tagging + tipo documento. Lógica se migra al server-side en 4.17.",Alta,,-,-,-,
12,Fase 1: Ingesta (El Ojo),4.10,04 Scraper,Human Throttle & Anti-WAF,Alta,Reemplazado,3.0,"REEMPLAZADO POR throttle server-side en 4.17. Los fetch desde API no necesitan distribución gaussiana ni simulación de mouse events. Solo throttle básico (500ms-1s) entre requests.",Media,,-,-,-,
13,Fase 1: Ingesta (El Ojo),4.11,04 Scraper,Sync UI & User Confirmation Flow,Alta,Reemplazado,6.0,"REEMPLAZADO POR 4.18 (Sync UI v2). Nuevo flujo: lectura pasiva DOM → preview → sync en background via API → progreso SSE. Abogado no se bloquea.",Alta,,-,-,-,
14,Fase 1: Ingesta (El Ojo),4.12,04 Scraper,SQL: Document Hashes Table,Alta,Listo,2.0,"Tabla document_hashes con UNIQUE(user_id + hash). Deduplicación server-side persistente.",Media,,-,-,-,
15,Fase 1: Ingesta (El Ojo),4.13,04 Scraper,Re-Sync Awareness & Sync Incremental,Alta,Reemplazado,7.0,"REEMPLAZADO POR 4.19 (Causa Fingerprint). El enfoque de delta simple se reemplaza por fingerprint completo que detecta cambios en todos los cuadernos + anexos + tabs.",Alta,,-,-,-,
