Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección,Clasificación Ejecución,Horas Rev.,Capa 1: IA Consultor Legal,Capa 2: Textos Legales (bcn.cl),Capa 3: Causas Reales PJUD,Capa 4: Abogado Validación
1,Fase 1: Ingesta (El Ojo),1.01,01 Cimientos,Init Next.js 16.1 & TS,Alta,Listo,3.0,Inicialización Next.js 16.1 con TypeScript + Tailwind + App Router + Turbopack.,Media,,-,-,-,-,-,-,-,-,-,
2,Fase 1: Ingesta (El Ojo),1.02,01 Cimientos,Shadcn/UI v2 Setup,Alta,Listo,3.0,Shadcn/UI v2 con tema legal profesional. Shell de aplicación para Dashboard y Extensión.,Media,,-,-,-,-,-,-,-,-,-,
3,Fase 1: Ingesta (El Ojo),4.01,04 Scraper,Extension Init (V3),Alta,Listo,6.0,Chrome Extension Manifest V3 con SidePanel API. Interfaz principal del producto activada en pjud.cl.,Media,,-,-,-,-,-,-,-,-,-,
4,Fase 1: Ingesta (El Ojo),1.03,01 Cimientos,Supabase Auth & Config,Alta,Listo,2.0,Supabase SSR Auth con middleware + persistencia de sesión entre Extensión y Dashboard.,Media,,-,-,-,-,-,-,-,-,-,
5,Fase 1: Ingesta (El Ojo),2.01,02 Storage,Bucket de Expedientes,Alta,Listo,3.0,Bucket 'case-files' con RLS policies. Permite subida desde Extensión.,Media,,-,-,-,-,-,-,-,-,-,
6,Fase 1: Ingesta (El Ojo),1.04,01 Cimientos,SQL: Perfiles & RLS,Alta,Listo,7.5,Tabla profiles con plan_type y contadores mensuales por capa. device_fingerprint para anti-multicuentas. RLS completo.,Alta,,-,-,-,-,-,-,-,-,-,
7,Fase 1: Ingesta (El Ojo),4.03,04 Scraper,Direct Upload API,Alta,Listo,6.0,API Route /api/upload: recibe PDF blobs desde Extensión → Storage + DB. Race condition protegida por UNIQUE constraint.,Media,,-,-,-,-,-,-,-,-,-,
8,Fase 1: Ingesta (El Ojo),4.06,04 Scraper,Scraper Remote Config,Alta,Listo,3.0,API Route /api/scraper/config: selectores CSS dinámicos + URL patterns. Soluciona el Ciclo de la Muerte.,Media,,-,-,-,-,-,-,-,-,-,
9,Fase 1: Ingesta (El Ojo),4.09,04 Scraper,PDF Validator & Causa Filter,Alta,Listo,4.0,5 filtros: Tamaño → Origen URL → Magic bytes → SHA-256 dedup → ROL tagging + tipo documento. Lógica se migra al server-side en 4.17.,Alta,,-,-,-,-,-,-,-,-,-,
10,Fase 1: Ingesta (El Ojo),4.12,04 Scraper,SQL: Document Hashes Table,Alta,Listo,2.0,Tabla document_hashes con UNIQUE(user_id + hash). Deduplicación server-side persistente.,Media,,-,-,-,-,-,-,-,-,-,
11,Fase 1: Ingesta (Scraper v2),4.14,04 Scraper v2,PJUD DOM Mapping & Endpoint Discovery,Alta,Listo,4.0,Tarea manual. Navegar PJUD y capturar HTML comentado de cada estado DOM: DOM1 (tabla resultados #dtaTableDetalle) DOM2 (modal #modalDetalleCivil: metadata + folios + cuadernos) DOM3 (modal Anexos #modalAnexoCausaCivil) DOM4 (tabla tras cambio cuaderno #selCuaderno) DOM5 (modal Receptor #modalReceptorCivil) DOM6 (tabs: Litigantes + Notificaciones + Escritos + Exhortos). Capturar endpoints desde DevTools Network: causaCivil.php (POST dtaCausa+token) + docuS/docuN.php (GET dtaDoc) + docCertificado*.php + newebookcivil.php + endpoint Anexos + endpoint Receptor. ESTADO MVP v1: DOM1 y DOM2 mapeados desde Consulta Unificada. Endpoint causaCivil.php y cambio cuaderno capturados. Falta: DOM3 DOM5 y endpoints de Anexos/Receptor. AMPLIACIÓN COMPETENCIA CIVIL COMPLETA: mapear DOM para los 6 libro/tipo civiles (c/v/e/a/f/i) → verificar si DOM2 varía según tipo. HALLAZGO CLAVE: DOM1 contiene caratulado pero DOM2 es el denominador común entre Consulta Unificada y Mis Causas → el caratulado debe extraerse de DOM2 o tratarse como enrichment opcional (ver 4.21). PENDIENTE MVP v1.1 (requiere clave abogado): mapear DOM desde Mis Causas como entry point adicional → comparar DOM2 de ambos entry points → mapear causas libro/tipo f (solo accesibles desde Mis Causas) → verificar dónde aparece caratulado en DOM2 vs DOM1 → documentar diferencias de campos → mapear cookies PHPSESSID en sesión autenticada (ver 4.21).,Media,,,-,-,-,Manual,6.0,,,,
